dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,9.9,9.0,6.4,3.8,21.0,4.9,7.5,4.6,5.4,11.6,24.0,17.4 
2,15.7,9.0,14.4,4.3,16.4,6.9,8.8,11.2,6.9,6.2,15.5,19.1 
3,15.4,14.0,9.7,3.5,23.3,7.6,11.0,9.2,5.9,7.3,8.1,2.4 
4,17.6,11.5,5.7,3.2,11.0,6.0,9.3,9.5,9.2,4.8,5.1,4.7 
5,24.7,11.9,4.2,2.3,9.8,5.0,13.8,7.4,8.5,7.5,8.9,3.2 
6,13.0,12.6,1.9,3.3,5.0,4.4,10.9,10.2,8.6,9.6,16.3,17.2 
7,11.0,4.1,2.4,4.8,7.1,9.0,7.5,2.5,9.1,14.9,16.7,12.6 
8,21.9,3.1,2.4,1.0,6.1,7.9,4.8,3.8,8.1,6.0,23.8,5.0 
9,15.0,2.8,2.6,1.3,6.1,4.1,6.8,6.5,10.8,6.9,17.3,4.7 
10,6.4,9.1,5.6,3.4,6.3,2.3,4.7,6.4,10.0,12.5,19.1,8.6 
11,7.0,4.6,15.4,3.1,8.0,4.9,4.7,5.6,9.8,11.1,19.3,20.9 
12,6.1,18.2,12.1,5.4,4.4,7.8,9.3,5.8,8.9,10.5,27.9,15.7 
13,3.8,13.8,16.4,8.2,4.6,4.9,6.6,10.2,9.3,6.3,20.7,9.3 
14,5.0,12.6,24.3,1.8,7.7,3.0,7.8,8.0,10.7,6.8,16.3,28.4 
15,19.9,12.3,8.5,1.2,8.4,8.3,4.0,4.9,6.9,7.6,10.6,26.7 
16,23.3,10.6,25.2,1.0,3.0,3.3,2.8,4.0,8.1,9.9,12.3,16.0 
17,27.2,8.5,2.8,1.6,3.9,3.0,4.2,9.0,8.0,12.8,18.1,18.5 
18,13.1,6.3,7.6,3.1,3.5,1.9,6.0,14.9,8.6,23.3,14.3,10.3 
19,9.6,3.7,5.0,5.1,2.3,3.0,9.8,26.2,10.9,19.4,10.2,5.5 
20,8.7,2.3,5.5,4.7,2.9,3.5,12.3,14.0,6.5,11.7,15.1,0.6 
21,15.8,4.3,2.3,5.8,5.3,3.8,8.7,7.8,7.8,13.6,14.0,18.5 
22,13.4,5.8,5.2,6.2,3.2,2.9,6.4,8.3,8.8,25.1,9.8,28.4 
23,21.8,3.3,3.5,4.5,3.6,3.0,3.7,9.0,7.7,16.7,17.5,36.6 
24,14.3,2.5,5.8,6.5,7.3,2.2,3.8,8.7,6.0,14.4,20.8,19.0 
25,13.0,11.4,5.2,7.3,7.6,4.0,5.9,4.3,5.3,17.4,15.4,32.7 
26,4.5,4.7,5.2,9.1,1.2,1.7,4.8,5.2,3.4,19.8,,11.3 
27,4.1,5.7,1.8,8.8,2.0,82.1,5.9,9.5,4.8,14.3,,8.3 
28,2.8,9.0,3.9,9.6,2.8,4.8,8.3,6.1,8.7,9.6,6.4,1.3 
29,5.1,,4.3,4.5,3.1,5.1,23.7,7.2,5.7,12.7,9.3,16.8 
30,9.7,,3.5,8.8,4.0,7.2,21.6,8.8,7.0,18.0,9.6,22.0 
31,18.1,,4.4,,2.9,,11.5,7.4,,15.7,,8.5
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 14, 2018 at 00:01:26
  
